iter	Passed	Remaining
0	126	63211
1	267	66545
2	396	65648
3	572	70999
4	743	73565
5	902	74279
6	1091	76906
7	1255	77238
8	1436	78365
9	1632	79977
10	1801	80077
11	1967	80031
12	2098	78619
13	2252	78197
14	2422	78313
15	2564	77567
16	2706	76896
17	2863	76687
18	3036	76865
19	3199	76783
20	3365	76775
21	3496	75978
22	3615	74988
23	3741	74199
24	3882	73776
25	3995	72834
26	4125	72269
27	4245	71564
28	4361	70834
29	4533	71023
30	4782	72353
31	4965	72618
32	5091	72049
33	5199	71266
34	5367	71312
35	5516	71099
36	5659	70816
37	5799	70507
38	5966	70531
39	6129	70485
40	6366	71275
41	6588	71842
42	6772	71981
43	6950	72032
44	7142	72216
45	7318	72228
46	7481	72104
47	7620	71760
48	7780	71608
49	7962	71665
50	8136	71631
51	8316	71648
52	8482	71542
53	8664	71561
54	8802	71217
55	8992	71295
56	9129	70955
57	9260	70574
58	9439	70557
59	9669	70909
60	9919	71390
61	10133	71589
62	10353	71815
63	10526	71713
64	10756	71987
65	10975	72175
66	11212	72463
67	11440	72679
68	11644	72736
69	11888	73031
70	12098	73102
71	12315	73206
72	12521	73239
73	12723	73244
74	12967	73484
75	13229	73807
76	13482	74068
77	13690	74069
78	13939	74287
79	14198	74539
80	14447	74735
81	14688	74876
82	14953	75129
83	15201	75285
84	15432	75347
85	15616	75177
86	15857	75275
87	16032	75059
88	16251	75046
89	16487	75108
90	16718	75141
91	16968	75252
92	17168	75135
93	17429	75279
94	17674	75347
95	17904	75347
96	18120	75283
97	18298	75060
98	18539	75096
99	18637	74551
100	18892	74634
101	19116	74593
102	19358	74614
103	19541	74408
104	19821	74567
105	20091	74678
106	20345	74726
107	20653	74964
108	20859	74827
109	21087	74765
110	21280	74576
111	21477	74405
112	21738	74450
113	21963	74366
114	22227	74414
115	22438	74280
116	22677	74233
117	22934	74246
118	23214	74324
119	23465	74307
120	23731	74332
121	23977	74290
122	24163	74062
123	24397	73980
124	24665	73996
125	24888	73874
126	25153	73876
127	25378	73756
128	25600	73625
129	25836	73533
130	26092	73496
131	26313	73358
132	26555	73276
133	26791	73175
134	27067	73182
135	27281	73018
136	27548	72992
137	27763	72829
138	28027	72791
139	28239	72616
140	28474	72498
141	28703	72365
142	28912	72181
143	29166	72105
144	29433	72062
145	29680	71963
146	29919	71847
147	30175	71769
148	30482	71808
149	30697	71626
150	30903	71426
151	31157	71334
152	31377	71163
153	31574	70939
154	31837	70864
155	32082	70745
156	32343	70660
157	32607	70581
158	32863	70481
159	33137	70416
160	33353	70229
161	33648	70204
162	33871	70028
163	34087	69837
164	34310	69659
165	34533	69483
166	34754	69301
167	34973	69114
168	35221	68983
169	35428	68773
170	35704	68695
171	35891	68444
